category,variant,scale,name,color,cost_flow_cap,cost_om_annual,cost_flow_in,cost_flow_out,cost_interest_rate
boiler,electric,household,Electric resistance boiler,#F2C14E,150,,,,0.10
boiler,electric,building,Electric resistance boiler,#F2C14E,120,,,,0.10
boiler,electric,community,Electric resistance boiler,#F2C14E,100,,,,0.10
boiler,gas,household,Condensing natural gas boiler,#8D8D8D,100,,0.04,,0.10
boiler,gas,building,Condensing natural gas boiler,#8D8D8D,80,,0.04,,0.10
boiler,gas,community,Condensing natural gas boiler,#8D8D8D,70,,0.04,,0.10
boiler,biomass,household,Biomass (wood pellet) boiler,#7A5230,400,,0.035,,0.10
boiler,biomass,building,Biomass (wood pellet) boiler,#7A5230,350,,0.035,,0.10
boiler,biomass,community,Biomass (wood pellet) boiler,#7A5230,300,,0.035,,0.10
heat_pump,electric,household,Air-source electric heat pump,#4C9F70,900,,,,0.10
heat_pump,electric,building,Air-source electric heat pump,#4C9F70,750,,,,0.10
heat_pump,electric,community,Air-source electric heat pump,#4C9F70,600,,,,0.10
heat_pump,geothermal,household,Ground-source (geothermal) heat pump,#2E6E8E,1800,,,,0.10
heat_pump,geothermal,building,Ground-source (geothermal) heat pump,#2E6E8E,1500,,,,0.10
heat_pump,geothermal,community,Ground-source (geothermal) heat pump,#2E6E8E,1200,,,,0.10
combined_heat_and_power,gas,household,Natural gas combined heat and power,#C1502E,3000,,0.04,,0.10
combined_heat_and_power,gas,building,Natural gas combined heat and power,#C1502E,1800,,0.04,,0.10
combined_heat_and_power,gas,community,Natural gas combined heat and power,#C1502E,1200,,0.04,,0.10
combined_heat_and_power,biomass,household,Biomass combined heat and power,#5B7A3A,4500,,0.035,,0.10
combined_heat_and_power,biomass,building,Biomass combined heat and power,#5B7A3A,3000,,0.035,,0.10
combined_heat_and_power,biomass,community,Biomass combined heat and power,#5B7A3A,2200,,0.035,,0.10
